,weight,total_gross_income,pitax,table_row
123394,350.19109403152834,0.0,0.0,1
123380,272.7804311403484,0.0,0.0,1
157563,455.2484222409868,0.0,0.0,1
76153,1531.6252586326318,0.0,0.0,1
157562,455.2484222409868,0.0,0.0,1
76139,2746.235421615669,0.0,0.0,1
157473,407.327535689304,0.0,0.0,1
157475,407.327535689304,0.0,0.0,1
157482,449.7190891773311,0.0,0.0,1
15836,396.26886956199263,0.0,0.0,1
157495,440.5035340712382,0.0,0.0,1
123436,291.2115413525341,0.0,0.0,1
123435,291.2115413525341,0.0,0.0,1
157503,438.6604230500197,0.0,0.0,1
90758,796.2239611664223,0.0,0.0,1
123429,291.2115413525341,0.0,0.0,1
123425,287.52531931009696,0.0,0.0,1
64343,1358.3728226380863,0.0,0.0,1
157554,455.2484222409868,0.0,0.0,1
76142,2746.235421615669,0.0,0.0,1
123422,287.52531931009696,0.0,0.0,1
123191,298.5839854374084,0.0,0.0,1
123505,423.9155348802712,0.0,0.0,1
90481,519.7573079836368,0.0,0.0,1
123802,311.48576258593835,0.0,0.0,1
124118,258.0355429705998,0.0,0.0,1
16512,617.442192108221,0.0,0.0,1
76382,1131.670167028202,0.0,0.0,1
124113,258.0355429705998,0.0,0.0,1
155762,359.4066491376212,0.0,0.0,1
155764,359.4066491376212,0.0,0.0,1
76380,1131.670167028202,0.0,0.0,1
155770,335.4462058617798,0.0,0.0,1
124108,258.0355429705998,0.0,0.0,1
64022,1010.0248396277764,0.0,0.0,1
155775,335.4462058617798,0.0,0.0,1
90172,506.8555308351068,0.0,0.0,1
38490,1146.4150551979506,0.0,0.0,1
16491,729.8719644025538,0.0,0.0,1
124103,258.0355429705998,0.0,0.0,1
76387,1131.670167028202,0.0,0.0,1
76373,1131.670167028202,0.0,0.0,1
16517,1087.4355025189564,0.0,0.0,1
64013,1010.0248396277764,0.0,0.0,1
16549,779.6359619754552,0.0,0.0,1
38448,729.8719644025538,0.0,0.0,1
155655,394.4257585407741,0.0,0.0,1
124148,267.2510980766927,0.0,0.0,1
38455,729.8719644025538,0.0,0.0,1
155671,339.1324279042169,0.0,0.0,1
76391,1131.670167028202,0.0,0.0,1
38457,729.8719644025538,0.0,0.0,1
38459,729.8719644025538,0.0,0.0,1
124138,307.7995405435012,0.0,0.0,1
64009,1010.0248396277764,0.0,0.0,1
64010,1010.0248396277764,0.0,0.0,1
64011,1010.0248396277764,0.0,0.0,1
76388,1131.670167028202,0.0,0.0,1
155730,364.9359822012769,0.0,0.0,1
124131,258.0355429705998,0.0,0.0,1
16488,729.8719644025538,0.0,0.0,1
16485,729.8719644025538,0.0,0.0,1
155800,390.73953649833686,0.0,0.0,1
64037,866.262179972728,0.0,0.0,1
155892,387.0533144558997,0.0,0.0,1
124060,287.52531931009696,0.0,0.0,1
38535,707.7546321479309,0.0,0.0,1
38536,707.7546321479309,0.0,0.0,1
16441,799.9101832088594,0.0,0.0,1
38538,707.7546321479309,0.0,0.0,1
155916,390.73953649833686,0.0,0.0,1
124051,287.52531931009696,0.0,0.0,1
155920,390.73953649833686,0.0,0.0,1
124050,287.52531931009696,0.0,0.0,1
57185,1327.0399352773702,0.0,0.0,1
16430,715.1270762328053,0.0,0.0,1
155929,411.01375773174107,0.0,0.0,1
64041,866.262179972728,0.0,0.0,1
155882,447.8759781561125,0.0,0.0,1
90204,562.1488614716638,0.0,0.0,1
155874,412.8568687529597,0.0,0.0,1
90203,562.1488614716638,0.0,0.0,1
155804,390.73953649833686,0.0,0.0,1
38497,1146.4150551979506,0.0,0.0,1
16478,787.0084060603293,0.0,0.0,1
90176,860.7328469090724,0.0,0.0,1
38503,1146.4150551979506,0.0,0.0,1
124095,258.0355429705998,0.0,0.0,1
16473,787.0084060603293,0.0,0.0,1
16550,779.6359619754552,0.0,0.0,1
16472,787.0084060603293,0.0,0.0,1
90178,860.7328469090724,0.0,0.0,1
57208,1710.407027690833,0.0,0.0,1
124084,258.0355429705998,0.0,0.0,1
124083,258.0355429705998,0.0,0.0,1
90201,562.1488614716638,0.0,0.0,1
155867,412.8568687529597,0.0,0.0,1
124069,287.52531931009696,0.0,0.0,1
38505,1146.4150551979506,0.0,0.0,1
64043,866.262179972728,0.0,0.0,1
38445,729.8719644025538,0.0,0.0,1
38441,729.8719644025538,0.0,0.0,1
76433,2178.55722708035,0.0,0.0,1
90101,521.6004190048553,0.0,0.0,1
155360,444.1897561136754,0.0,0.0,1
155363,444.1897561136754,0.0,0.0,1
155364,444.1897561136754,0.0,0.0,1
155372,409.1706467105225,0.0,0.0,1
124268,219.33021152500984,0.0,0.0,1
38381,1010.0248396277764,0.0,0.0,1
124263,219.33021152500984,0.0,0.0,1
155405,418.3862018166154,0.0,0.0,1
155406,418.3862018166154,0.0,0.0,1
57260,1314.1381581288404,0.0,0.0,1
76432,2178.55722708035,0.0,0.0,1
76429,2178.55722708035,0.0,0.0,1
38388,1290.177714852999,0.0,0.0,1
90096,632.1870802779695,0.0,0.0,1
124249,219.33021152500984,0.0,0.0,1
16659,774.1066289117996,0.0,0.0,1
38369,1010.0248396277764,0.0,0.0,1
155253,377.8377593498069,0.0,0.0,1
155261,375.99464832858826,0.0,0.0,1
38350,634.0301912991881,0.0,0.0,1
76437,2178.55722708035,0.0,0.0,1
16679,742.7737415510838,0.0,0.0,1
124302,274.62354216156695,0.0,0.0,1
76436,2178.55722708035,0.0,0.0,1
124300,274.62354216156695,0.0,0.0,1
90066,519.7573079836368,0.0,0.0,1
124288,274.62354216156695,0.0,0.0,1
124281,274.62354216156695,0.0,0.0,1
124278,274.62354216156695,0.0,0.0,1
38366,1010.0248396277764,0.0,0.0,1
124277,274.62354216156695,0.0,0.0,1
155328,375.99464832858826,0.0,0.0,1
155342,374.1515373073697,0.0,0.0,1
155459,339.1324279042169,0.0,0.0,1
124240,219.33021152500984,0.0,0.0,1
38391,1290.177714852999,0.0,0.0,1
16585,657.9906345750295,0.0,0.0,1
155584,364.9359822012769,0.0,0.0,1
155587,364.9359822012769,0.0,0.0,1
76406,2178.55722708035,0.0,0.0,1
124170,283.83909726765984,0.0,0.0,1
63990,1010.0248396277764,0.0,0.0,1
63991,1010.0248396277764,0.0,0.0,1
