id_n,age,weight,tot_inc,gross_wage,wage_inc,total_gross_income,taxable_income,tax_cum_income,authorized_deduction,subsidy_w,pending_pitax,capitalgains_pitax,gambling_pitax,additional_dividend_pitax,pitax,pitax1,pitax2,pitax_diff
167,41,256,146739,146739,140870,146739,143853,143853,0,0,0,0,0,0,12374,12374,12374,0
168,35,256,143804,143804,129130,143804,140918,140918,0,0,0,0,0,0,11905,11905,11905,0
169,28,256,127174,127174,117391,127174,124287,124287,0,0,0,0,0,0,9717,9717,9717,0
170,64,256,234783,0,0,234783,0,0,0,0,0,0,0,0,0,0,0,0
171,45,178,356538,356538,332144,356538,353651,353651,0,0,0,0,0,0,55524,55524,55524,0
172,46,178,220131,137508,89705,220131,121244,121244,0,0,0,0,0,0,9386,9386,9386,0
173,57,178,240000,240000,0,240000,240000,240000,0,0,0,0,0,0,31248,31248,31248,0
174,25,178,162688,162688,127869,162688,152523,152523,0,0,0,0,0,0,13761,13761,13761,0
175,60,178,63738,0,0,63738,0,0,0,0,0,0,0,0,0,0,0,0
176,30,178,114177,114177,92066,114177,107014,107014,0,0,0,0,0,0,7838,7838,7838,0
177,29,178,60197,60197,28328,60197,60197,60197,0,0,0,0,0,0,3452,3452,3452,0
178,40,178,151814,151814,126000,151814,132236,132236,0,0,0,0,0,0,10582,10582,10582,0
179,40,178,100623,100623,70820,100623,78755,78755,0,4149,0,0,0,0,614,614,614,0
180,58,181,61141,61141,58696,61141,58696,58696,0,0,0,0,0,0,3355,3355,3355,0
181,31,181,68870,68870,65739,68870,65983,65983,0,4149,0,0,0,0,0,0,0,0
182,33,181,190761,190761,176087,190761,187874,187874,0,0,0,0,0,0,20114,20114,20114,0
183,62,181,46957,0,0,46957,0,0,0,0,0,0,0,0,0,0,0,0
184,38,181,109565,109565,93913,109565,105235,105235,0,0,0,0,0,0,7644,7644,7644,0
185,35,181,177065,177065,93913,177065,134904,134904,0,0,0,0,0,0,10942,10942,10942,0
186,75,181,52826,0,0,35217,0,0,0,0,0,0,0,0,0,0,0,0
187,70,181,52826,0,0,35217,0,0,0,0,0,0,0,0,0,0,0,0
188,66,181,190956,0,0,176087,0,0,0,0,0,0,0,0,0,0,0,0
189,60,181,85304,0,0,70435,0,0,0,0,0,0,0,0,0,0,0,0
190,45,181,131087,66913,61043,131087,64026,64026,0,0,0,0,0,0,3697,3697,3697,0
191,73,132,307956,0,0,298174,4696,4696,0,0,0,0,0,0,90,90,90,0
192,64,132,342783,0,0,342783,24417,24417,0,0,0,0,0,0,1162,1162,1162,0
193,24,132,176087,176087,176087,176087,176087,176087,0,0,0,0,0,0,17932,17932,17932,0
