id_n,tot_inc,taxable_income,pitax,pitax1,pitax2,pitax_diff
7896,16435,0,-0,-0,-0,-0
7897,98609,98609,6923,6923,5917,-1007
7898,75130,75130,4407,4407,4508,101
7899,148696,145809,12687,12687,8749,-3939
7900,108783,105896,7716,7716,6354,-1363
7901,120717,117831,9015,9015,7070,-1945
7902,153000,101787,7269,7269,6107,-1162
7903,4285,0,-0,-0,-0,-0
7904,91370,88483,5822,5822,5309,-513
7905,98022,95135,6546,6546,5708,-837
7906,2935,0,-0,-0,-0,-0
7907,141253,138366,11496,11496,8302,-3194
7908,77870,75717,4445,4445,4543,98
7909,87934,85048,5448,5448,5103,-345
7910,35410,25967,1261,1261,1558,297
7911,195147,108851,8038,8038,6531,-1507
7912,130623,106785,7813,7813,6407,-1406
7913,65311,0,-0,-0,-0,-0
7914,121672,117342,8962,8962,7041,-1921
7915,97869,85540,5502,5502,5132,-369
7916,63950,0,-0,-0,-0,-0
7917,84984,75541,4434,4434,4532,99
7918,106525,102426,7339,7339,6146,-1193
7919,92459,88129,5783,5783,5288,-496
7920,35508,0,-0,-0,-0,-0
7921,127082,107183,7856,7856,6431,-1425
7922,146746,23508,1103,1103,1410,307
7923,110951,108064,7952,7952,6484,-1468
7924,143410,140523,11841,11841,8431,-3410
7925,16525,0,-0,-0,-0,-0
7926,111541,108654,8016,8016,6519,-1497
7927,127869,51148,2872,2872,3069,196
7928,28721,-3836,-74,-74,-230,-157
7929,377996,320119,48361,48361,36119,-12242
7930,79558,0,-0,-0,-0,-0
7931,23867,23867,1126,1126,1432,306
7932,10104,0,-0,-0,-0,-0
7933,144052,0,-0,-0,-0,-0
7934,21878,0,-0,-0,-0,-0
7935,115789,56120,7009,7009,6947,-62
7936,74784,11934,363,363,716,353
7937,71204,0,-0,-0,-0,-0
7938,63249,0,-0,-0,-0,-0
7939,23867,23867,1126,1126,1432,306
7940,22598,0,-0,-0,-0,-0
7941,22598,0,-0,-0,-0,-0
7942,126978,124092,9696,9696,7445,-2250
7943,27391,9783,225,225,587,362
7944,81822,48952,2732,2732,2937,205
7945,24456,24456,1164,1164,1467,303
7946,235672,165246,15989,15989,11339,-4650
7947,36197,3934,76,76,236,161
7948,103672,29508,1487,1487,1770,283
7949,19082,3934,76,76,236,161
7950,28918,0,-0,-0,-0,-0
7951,40918,40918,2218,2218,2455,237
7952,35803,35803,1890,1890,2148,258
7953,25574,25574,1236,1236,1534,299
7954,68852,68852,4005,4005,4131,126
7955,144787,34033,1777,1777,2042,265
7956,81246,77311,4606,4606,4639,32
7957,98164,77705,4649,4649,4662,13
7958,78492,73770,4320,4320,4426,106
7959,75344,73770,4320,4320,4426,106
7960,51541,51541,2898,2898,3092,195
7961,55672,52328,2948,2948,3140,192
7962,73770,73770,4320,4320,4426,106
7963,83803,83803,5313,5313,5028,-284
7964,91082,90098,5998,5998,5406,-592
7965,106229,103343,7439,7439,6201,-1238
7966,99391,91859,6189,6189,5512,-678
7967,149420,141887,12060,12060,8513,-3546
7968,7533,0,-0,-0,-0,-0
7969,150253,0,-0,-0,-0,-0
7970,55366,43826,2404,2404,2630,226
7971,92543,0,-0,-0,-0,-0
7972,25043,25043,1202,1202,1503,301
7973,10956,0,-0,-0,-0,-0
7974,9783,5459,105,105,328,223
7975,182391,161847,15380,15380,10796,-4585
7976,37076,0,-0,-0,-0,-0
7977,67289,64565,3731,3731,3874,143
7978,65540,46957,2604,2604,2817,213
7979,8804,8804,169,169,528,359
7980,92688,0,-0,-0,-0,-0
7981,25435,25435,1227,1227,1526,299
7982,79043,63391,3656,3656,3803,148
7983,90391,90391,6029,6029,5423,-606
7984,25043,25043,1202,1202,1503,301
7985,127561,76304,4497,4497,4578,82
7986,141456,129179,10249,10249,7751,-2499
7987,11348,11348,325,325,681,356
7988,352174,0,-0,-0,-0,-0
7989,45783,23478,1102,1102,1409,307
7990,56543,15652,640,640,978,338
7991,11739,0,-0,-0,-0,-0
7992,22011,0,-0,-0,-0,-0
7993,49563,0,-0,-0,-0,-0
7994,22304,0,-0,-0,-0,-0
7995,140870,140870,11897,11897,8452,-3445
7996,7102,0,-0,-0,-0,-0
7997,11213,11213,317,317,673,356
7998,984,984,19,19,59,40
7999,95410,92066,6212,6212,5524,-688
8000,109751,13770,500,500,846,346
8001,13849,3934,76,76,236,161
8002,162098,162098,15425,15425,10836,-4590
8003,12275,0,-0,-0,-0,-0
8004,70229,55082,3124,3124,3305,181
8005,50003,0,-0,-0,-0,-0
8006,17705,3541,68,68,212,144
8007,8632,8066,155,155,484,329
8008,80203,0,-0,-0,-0,-0
8009,5902,0,-0,-0,-0,-0
8010,393,0,-0,-0,-0,-0
8011,75246,45443,2507,2507,2727,219
8012,6216,0,-0,-0,-0,-0
8013,31869,0,-0,-0,-0,-0
8014,39108,15738,606,606,944,338
8015,93522,91565,6157,6157,5494,-663
8016,86478,86478,5604,5604,5189,-415
8017,91949,0,-0,-0,-0,-0
8018,103696,103696,7477,7477,6222,-1255
8019,69065,55957,3180,3180,3357,177
8020,89632,89632,5947,5947,5378,-569
8021,26053,0,-0,-0,-0,-0
8022,12306,2641,51,51,158,108
8023,120815,119348,9180,9180,7161,-2019
8024,62628,3913,75,75,235,160
8025,98609,63757,3679,3679,3825,146
8026,13793,3228,62,62,194,132
8027,121343,110348,8201,8201,6621,-1580
8028,11543,5283,101,101,317,216
8029,311850,0,-0,-0,-0,-0
8030,107667,2935,56,56,176,120
8031,61603,56470,3213,3213,3388,175
8032,43630,0,-0,-0,-0,-0
8033,126538,17609,726,726,1057,331
8034,4109,4109,79,79,247,168
8035,68870,33261,1728,1728,1996,268
8036,68845,0,-0,-0,-0,-0
8037,26754,0,-0,-0,-0,-0
8038,5469,0,-0,-0,-0,-0
8039,92066,0,-0,-0,-0,-0
8040,14872,0,-0,-0,-0,-0
8041,23607,23607,1110,1110,1416,307
8042,48098,0,-0,-0,-0,-0
8043,1056146,0,-0,-0,-0,-0
8044,20113,0,-0,-0,-0,-0
8045,47213,47213,2621,2621,2833,212
8046,23607,23607,1110,1110,1416,307
8047,52525,0,-0,-0,-0,-0
8048,41311,0,-0,-0,-0,-0
8049,34820,0,-0,-0,-0,-0
8050,30885,0,-0,-0,-0,-0
8051,78688,75802,4450,4450,4548,98
8052,7869,7869,151,151,472,321
8053,22500,22500,1039,1039,1350,311
8054,15848,0,-0,-0,-0,-0
8055,92133,88904,5868,5868,5334,-533
8056,42946,42261,2304,2304,2536,232
8057,123261,119885,9238,9238,7193,-2045
8058,35609,35609,1878,1878,2137,259
8059,3130,0,-0,-0,-0,-0
8060,257165,0,-0,-0,-0,-0
8061,65739,0,-0,-0,-0,-0
8062,43474,0,-0,-0,-0,-0
8063,47735,47735,2654,2654,2864,210
8064,114563,112177,8400,8400,6731,-1669
8065,39381,29834,1508,1508,1790,282
8066,125503,124309,9720,9720,7459,-2261
8067,263953,113387,9725,9725,7997,-1728
8068,95470,95470,6582,6582,5728,-854
8069,198895,194565,21543,21543,16030,-5513
8070,83536,0,-0,-0,-0,-0
8071,252398,246477,32631,32631,24336,-8295
8072,31823,31823,1636,1636,1909,274
8073,107403,107403,7880,7880,6444,-1436
8074,47735,47735,2654,2654,2864,210
8075,36597,23867,1126,1126,1432,306
8076,81391,81391,5050,5050,4883,-167
8077,4343,0,-0,-0,-0,-0
8078,76891,76891,4561,4561,4613,53
8079,26413,21130,951,951,1268,317
8080,56641,55957,3180,3180,3357,177
8081,161022,154613,14096,14096,9638,-4458
8082,226369,200396,22789,22789,16963,-5825
8083,153587,145344,12613,12613,8721,-3892
8084,88826,85939,5545,5545,5156,-389
8085,978,0,-0,-0,-0,-0
8086,199369,187239,19978,19978,14858,-5120
8087,10761,10761,288,288,646,358
8088,225246,222359,27480,27480,20477,-7002
8089,45246,38951,2092,2092,2337,245
8090,11134,10820,291,291,649,358
8091,113213,102295,7325,7325,6138,-1187
8092,140656,136326,11170,11170,8180,-2990
8093,190820,187933,20127,20127,14969,-5157
8094,13062,7554,145,145,453,308
8095,171147,127640,10082,10082,7658,-2424
8096,89705,79901,4888,4888,4794,-94
8097,44656,2164,42,42,130,88
8098,14164,0,-0,-0,-0,-0
8099,114787,101277,7214,7214,6077,-1137
8100,84826,61377,3527,3527,3683,156
8101,110746,0,-0,-0,-0,-0
8102,28328,0,-0,-0,-0,-0
8103,9443,0,-0,-0,-0,-0
8104,70426,67540,3921,3921,4052,131
8105,76721,59016,3376,3376,3541,165
8106,9443,0,-0,-0,-0,-0
8107,9443,0,-0,-0,-0,-0
8108,610229,610229,116673,116673,88946,-27727
8109,130820,127933,10114,10114,7676,-2438
8110,123934,116852,8908,8908,7011,-1897
8111,28328,0,-0,-0,-0,-0
8112,25574,25574,1236,1236,1534,299
8113,90012,70732,4126,4126,4244,118
8114,76304,76304,4497,4497,4578,82
8115,61043,61043,3506,3506,3663,157
8116,101543,100100,7086,7086,6006,-1080
8117,68967,66130,3831,3831,3968,137
8118,6261,0,-0,-0,-0,-0
8119,9391,9391,200,200,563,364
8120,66130,66130,3831,3831,3968,137
8121,73174,69774,4064,4064,4186,122
8122,6261,0,-0,-0,-0,-0
8123,131967,108247,7972,7972,6495,-1477
8124,82565,67234,3902,3902,4034,132
8125,138252,0,-0,-0,-0,-0
8126,76304,76304,4497,4497,4578,82
8127,70435,70435,4107,4107,4226,119
8128,31461,28174,1402,1402,1690,288
8129,210213,176087,17932,17932,13074,-4858
8130,70435,70435,4107,4107,4226,119
8131,12522,0,-0,-0,-0,-0
8132,22304,0,-0,-0,-0,-0
8133,183913,0,-0,-0,-0,-0
8134,56348,46957,2604,2604,2817,213
8135,48913,46957,2604,2604,2817,213
8136,104087,79756,4872,4872,4785,-87
8137,37565,37565,2003,2003,2254,251
8138,70435,70435,4107,4107,4226,119
8139,37565,37565,2003,2003,2254,251
8140,176376,61043,3506,3506,3663,157
8141,30033,30033,1521,1521,1802,281
8142,63391,61043,3506,3506,3663,157
8143,36391,36391,1928,1928,2183,256
8144,39913,39913,2153,2153,2395,241
8145,650074,650074,128626,128626,96915,-31711
8146,32674,32674,1690,1690,1960,270
8147,31696,14087,500,500,845,345
8148,81783,66644,3864,3864,3999,134
8149,67206,0,-0,-0,-0,-0
8150,22598,0,-0,-0,-0,-0
8151,160043,155029,14162,14162,9705,-4458
8152,68674,68674,3994,3994,4120,126
8153,175180,56684,3227,3227,3401,174
8154,67402,66130,3831,3831,3968,137
8155,54587,54587,3092,3092,3275,183
8156,19672,19672,858,858,1180,322
8157,60197,55867,3174,3174,3352,178
8158,91672,89705,5955,5955,5382,-572
8159,92951,89179,5897,5897,5351,-547
8160,22033,22033,1009,1009,1322,313
8161,7869,7869,151,151,472,321
8162,281591,0,-0,-0,-0,-0
8163,96000,96000,6640,6640,5760,-880
8164,51934,0,-0,-0,-0,-0
8165,49574,0,-0,-0,-0,-0
8166,96885,94426,6468,6468,5666,-803
8167,416733,416733,69903,69903,51577,-18326
8168,835,0,-0,-0,-0,-0
8169,349122,31823,1636,1636,1909,274
8170,86316,86316,5586,5586,5179,-407
8171,4972,4972,95,95,298,203
8172,17901,17901,745,745,1074,329
8173,1392,1392,27,27,84,57
8174,128287,128287,10152,10152,7697,-2455
8175,68221,3978,76,76,239,162
8176,83536,71602,4181,4181,4296,115
8177,46957,46957,2604,2604,2817,213
8178,78261,19565,851,851,1174,323
8179,52826,0,-0,-0,-0,-0
8180,3326,0,-0,-0,-0,-0
8181,9485,0,-0,-0,-0,-0
8182,28655,0,-0,-0,-0,-0
8183,9391,0,-0,-0,-0,-0
8184,65739,65739,3806,3806,3944,138
8185,9391,0,-0,-0,-0,-0
8186,24787,0,-0,-0,-0,-0
8187,40737,35410,1865,1865,2125,259
8188,2361,0,-0,-0,-0,-0
8189,41347,0,-0,-0,-0,-0
8190,3305,0,-0,-0,-0,-0
8191,24641,0,-0,-0,-0,-0
8192,17705,0,-0,-0,-0,-0
8193,34229,34229,1790,1790,2054,264
8194,5902,0,-0,-0,-0,-0
8195,12913,9783,225,225,587,362
8196,50654,29348,1477,1477,1761,284
8197,6574,0,-0,-0,-0,-0
8198,34818,29348,1477,1477,1761,284
8199,29348,29348,1477,1477,1761,284
8200,1174,0,-0,-0,-0,-0
8201,46467,15652,601,601,939,338
8202,46957,0,-0,-0,-0,-0
8203,22985,0,-0,-0,-0,-0
8204,22304,0,-0,-0,-0,-0
8205,9920,0,-0,-0,-0,-0
8206,9391,0,-0,-0,-0,-0
8207,14615,0,-0,-0,-0,-0
8208,48913,48913,2729,2729,2935,205
8209,15648,0,-0,-0,-0,-0
8210,9391,0,-0,-0,-0,-0
8211,68087,58696,3355,3355,3522,166
8212,23279,11739,350,350,704,354
8213,53468,0,-0,-0,-0,-0
8214,20782,0,-0,-0,-0,-0
8215,3228,0,-0,-0,-0,-0
8216,56242,0,-0,-0,-0,-0
8217,3130,0,-0,-0,-0,-0
8218,132449,0,-0,-0,-0,-0
8219,211304,211304,25119,25119,18709,-6410
8220,11093,0,-0,-0,-0,-0
8221,6261,0,-0,-0,-0,-0
8222,3130,0,-0,-0,-0,-0
8223,105285,0,-0,-0,-0,-0
8224,9915,0,-0,-0,-0,-0
8225,10623,0,-0,-0,-0,-0
8226,8852,0,-0,-0,-0,-0
8227,19251,0,-0,-0,-0,-0
8228,70820,70820,4131,4131,4249,118
8229,29768,0,-0,-0,-0,-0
8230,9738,0,-0,-0,-0,-0
8231,142623,139736,11716,11716,8384,-3331
8232,18885,0,-0,-0,-0,-0
8233,21482,0,-0,-0,-0,-0
8234,9738,0,-0,-0,-0,-0
8235,53115,53115,2998,2998,3187,189
8236,9443,0,-0,-0,-0,-0
8237,18708,0,-0,-0,-0,-0
8238,61475,61475,3533,3533,3689,155
8239,9089,0,-0,-0,-0,-0
8240,36047,0,-0,-0,-0,-0
8241,125006,0,-0,-0,-0,-0
8242,17901,0,-0,-0,-0,-0
8243,11934,0,-0,-0,-0,-0
8244,8389,0,-0,-0,-0,-0
8245,15906,0,-0,-0,-0,-0
8246,54235,0,-0,-0,-0,-0
8247,124482,91461,6146,6146,5488,-658
8248,6261,0,-0,-0,-0,-0
8249,6261,0,-0,-0,-0,-0
8250,6261,0,-0,-0,-0,-0
8251,197100,73418,4298,4298,4405,107
8252,157907,0,-0,-0,-0,-0
8253,14870,0,-0,-0,-0,-0
8254,59016,59016,3376,3376,3541,165
8255,19247,0,-0,-0,-0,-0
8256,20656,0,-0,-0,-0,-0
8257,33443,21108,950,950,1266,317
8258,3934,3934,76,76,236,161
8259,72197,0,-0,-0,-0,-0
8260,7869,7869,151,151,472,321
8261,6610,0,-0,-0,-0,-0
8262,23213,23213,1085,1085,1393,308
8263,58229,48393,2696,2696,2904,207
8264,6295,0,-0,-0,-0,-0
8265,47213,9443,203,203,567,363
8266,10033,3738,72,72,224,152
8267,269134,36197,1916,1916,2172,256
8268,71607,71607,4182,4182,4296,115
8269,6295,0,-0,-0,-0,-0
8270,415820,0,-0,-0,-0,-0
8271,3130,0,-0,-0,-0,-0
8272,41756,41756,2271,2271,2505,234
8273,6261,0,-0,-0,-0,-0
8274,48913,47470,2637,2637,2848,211
8275,2054,2054,39,39,123,84
8276,19370,19370,839,839,1162,324
8277,74348,62070,3571,3571,3724,153
8278,81000,81000,5008,5008,4860,-148
8279,15652,15652,601,601,939,338
8280,69261,69261,4032,4032,4156,124
8281,46957,46957,2604,2604,2817,213
8282,364304,70784,4129,4129,4247,118
8283,242254,36994,1967,1967,2220,253
8284,1193,0,-0,-0,-0,-0
8285,62330,36994,1967,1967,2220,253
8286,21481,21481,974,974,1289,315
8287,5967,5967,115,115,358,243
8288,5967,5967,115,115,358,243
8289,14356,0,-0,-0,-0,-0
8290,7956,7956,153,153,477,325
8291,6265,0,-0,-0,-0,-0
8292,75091,71266,4160,4160,4276,116
8293,21913,21913,1001,1001,1315,313
8294,39913,38739,2078,2078,2324,246
8295,21130,0,-0,-0,-0,-0
8296,11947,0,-0,-0,-0,-0
8297,31304,21130,951,951,1268,317
8298,978,0,-0,-0,-0,-0
8299,20348,20348,901,901,1221,320
8300,24629,0,-0,-0,-0,-0
8301,78716,0,-0,-0,-0,-0
8302,11803,0,-0,-0,-0,-0
8303,44217,41087,2228,2228,2465,237
8304,4500,0,-0,-0,-0,-0
8305,967940,967940,223986,223986,175744,-48242
8306,3130,0,-0,-0,-0,-0
8307,58480,31304,1602,1602,1878,276
8308,3130,0,-0,-0,-0,-0
8309,46957,46957,2604,2604,2817,213
8310,45196,42309,2307,2307,2539,232
8311,41087,41087,2228,2228,2465,237
8312,66905,3913,75,75,235,160
8313,19174,19174,826,826,1150,324
8314,108250,83802,5312,5312,5028,-284
8315,9579,0,-0,-0,-0,-0
8316,15065,0,-0,-0,-0,-0
8317,3913,0,-0,-0,-0,-0
8318,5870,5870,113,113,352,239
8319,84616,41087,2228,2228,2465,237
8320,10957,10957,300,300,657,357
8321,7826,7826,150,150,470,319
8322,33261,33261,1728,1728,1996,268
8323,39522,39522,2128,2128,2371,243
8324,3130,0,-0,-0,-0,-0
8325,32087,9783,225,225,587,362
8326,53609,15652,601,601,939,338
8327,164485,90000,5987,5987,5400,-587
8328,43082,20656,921,921,1239,318
8329,22426,0,-0,-0,-0,-0
8330,22426,0,-0,-0,-0,-0
8331,22426,0,-0,-0,-0,-0
8332,18885,15738,606,606,944,338
8333,5890,0,-0,-0,-0,-0
8334,56656,42492,2318,2318,2550,231
8335,94426,94426,6468,6468,5666,-803
8336,3148,0,-0,-0,-0,-0
8337,84991,0,-0,-0,-0,-0
8338,20656,20656,921,921,1239,318
8339,4525,4525,87,87,271,185
8340,5016,0,-0,-0,-0,-0
